,job_name,job_url,location,area,company,education,experience,role_typessalary,shift_time,role_term,skills,role_types,salary
0,儲備人才培訓計劃(微星集團),http://www.104.com.tw/job/7arre?jobsource=cmw_redirect,China,廣東省深圳市,微星集團_恩斯邁電子(深圳)有限公司,大學,不拘,,日班,全職,英文,"生產技術／製程工程師,電子產品系統工程師,品管／品保工程師",待遇面議（經常性薪資達 4 萬元或以上）
1,應屆畢業生培訓計劃(微星集團),http://www.104.com.tw/job/7arrb?jobsource=cmw_redirect,China,廣東省深圳市,微星集團_恩斯邁電子(深圳)有限公司,大學,不拘,,日班,全職,英文,"生產技術／製程工程師,電子產品系統工程師,品管／品保工程師",待遇面議（經常性薪資達 4 萬元或以上）
2,FAE,http://www.104.com.tw/job/7gzcf?jobsource=cmw_redirect,China,香港特別行政區,軒運科技股份有限公司,大學,5年,,日班,全職,"英文,OrCAD,CMP化學機械研磨技術,CVD化學氣象沉積,操作控制及故障排除,協助改善產品良率,新技術製程開發,改善設備問題及功能提昇,新產品封裝導入及封裝良率改善,試產／量產時的產品異常分析改善","微機電工程師,RF通訊工程師,半導體工程師","月薪50,000元以上（固定或變動薪資因個人資歷或績效而異）"
3,客戶品質培訓計劃(微星集團),http://www.104.com.tw/job/7u0xz?jobsource=cmw_redirect,China,廣東省深圳市,微星集團_恩斯邁電子(深圳)有限公司,大學,不拘,,日班,全職,,"生產技術／製程工程師,電子產品系統工程師,品管／品保工程師",待遇面議（經常性薪資達 4 萬元或以上）
4,封裝測試工程主管,http://www.104.com.tw/job/7ggml?jobsource=cmw_redirect,China,江蘇省南通市,弘凱光電(江蘇)有限公司,大學,5年,,日班,全職,"SPC,IATF16949,建立標準生產流程,產品生產製程規劃及工時估算,提出生產標準改良方案,標準作業流程規劃","其他工程研發主管,生產技術／製程工程師,經營管理主管",待遇面議（經常性薪資達 4 萬元或以上）
5,產品工程師培訓計劃(微星集團),http://www.104.com.tw/job/7u0ur?jobsource=cmw_redirect,China,廣東省深圳市,微星集團_恩斯邁電子(深圳)有限公司,大學,不拘,,日班,全職,,電子產品系統工程師,待遇面議（經常性薪資達 4 萬元或以上）
6,工業工程 培訓計劃(微星集團),http://www.104.com.tw/job/7u0we?jobsource=cmw_redirect,China,廣東省深圳市,微星集團_恩斯邁電子(深圳)有限公司,大學,不拘,,日班,全職,,"生產技術／製程工程師,電子產品系統工程師,品管／品保工程師",待遇面議（經常性薪資達 4 萬元或以上）
7,實驗室主管,http://www.104.com.tw/job/84v71?jobsource=cmw_redirect,China,江蘇省南通市,弘凱光電(江蘇)有限公司,碩士,不拘,,日班,全職,"SPC,IATF16949,高分子材料設計與合成,化學實驗室管理,材料評估測試,產品材料分析","實驗化驗人員,材料研發人員",待遇面議（經常性薪資達 4 萬元或以上）
8,設備工程培訓計劃(微星集團),http://www.104.com.tw/job/7u0x4?jobsource=cmw_redirect,China,廣東省深圳市,微星集團_恩斯邁電子(深圳)有限公司,大學,不拘,,日班,全職,,"生產技術／製程工程師,電子產品系統工程師,品管／品保工程師",待遇面議（經常性薪資達 4 萬元或以上）
9,自動化設備研發管理,http://www.104.com.tw/job/5y7sg?jobsource=cmw_redirect,China,廣東省深圳市,深圳信隆健康產業發展股份有限公司,專科,10年,,日班,全職,"AutoCAD,AutoCad 2D,AutoCad 3D,Pro/E,SolidWorks,PLC,產品結構評估,產品機構設計,新產品研發與測試,自動化系統設計整合,設計機台設備自動化,電機設備設計開發,自動化機構裝配,機械相關圖表繪製,自動化設備／系統介面之維護改善,規劃、維護自動控制系統,繪製2D／3D模具設計圖,自動化工程師證照,丙級電腦輔助機械製圖技術士,AutoCAD國際認證","機械工程師,自動控制工程師",待遇面議（經常性薪資達 4 萬元或以上）
10,MSIS 自動化智能化技術主管,http://www.104.com.tw/job/7arr8?jobsource=cmw_redirect,China,廣東省深圳市,微星集團_恩斯邁電子(深圳)有限公司,大學,5年,,日班,全職,,"生產技術／製程工程師,機械工程師,自動控制工程師",待遇面議（經常性薪資達 4 萬元或以上）
11,應屆畢業生培訓計劃(微星集團),http://www.104.com.tw/job/83mfd?jobsource=cmw_redirect,China,廣東省深圳市,微星集團_恩斯邁電子(深圳)有限公司,大學,不拘,,日班,全職,英文,"生產技術／製程工程師,電子產品系統工程師,品管／品保工程師",待遇面議（經常性薪資達 4 萬元或以上）
12,品質工程師培訓計劃(微星集團),http://www.104.com.tw/job/7u0xm?jobsource=cmw_redirect,China,廣東省深圳市,微星集團_恩斯邁電子(深圳)有限公司,大學,不拘,,日班,全職,,"生產技術／製程工程師,電子產品系統工程師,機構工程師",待遇面議（經常性薪資達 4 萬元或以上）
13,製程工程師培訓計劃(微星集團),http://www.104.com.tw/job/7u0wq?jobsource=cmw_redirect,China,廣東省深圳市,微星集團_恩斯邁電子(深圳)有限公司,大學,不拘,,日班,全職,,"生產技術／製程工程師,電子產品系統工程師,機構工程師",待遇面議（經常性薪資達 4 萬元或以上）
14,SiC MOSFET Power Modular 功率模組 資深機構工程師,http://www.104.com.tw/job/81nzw?jobsource=cmw_redirect,China,香港特別行政區,軒運科技股份有限公司,大學,5年,,日班,全職,"英文,AutoCAD,Pro/E,SolidWorks,工廠設備設計與改善,操作控制及故障排除,開立工單及生產交期管理,達成產能及出貨目標,維持產線正常運轉並跟催生產進度","機械工程師,機構工程師,熱傳工程師","月薪50,000元以上（固定或變動薪資因個人資歷或績效而異）"
15,運動產品開發設計,http://www.104.com.tw/job/6yxuy?jobsource=cmw_redirect,China,廣東省深圳市,深圳信隆健康產業發展股份有限公司,大學,10年,,日班,全職,"英文,AutoCAD,AutoCad 3D,Pro/E,SolidWorks,產品結構評估,產品機構設計,繪製電腦相關配圖,繪製2D／3D模具設計圖,電腦繪圖軟體操作,繪圖工具與軟體操作,設計表現能力,AutoCAD國際認證","機構工程師,機械工程師",待遇面議（經常性薪資達 4 萬元或以上）
16,生產製造 培訓計劃(微星集團),http://www.104.com.tw/job/7u0y5?jobsource=cmw_redirect,China,廣東省深圳市,微星集團_恩斯邁電子(深圳)有限公司,大學,不拘,,日班,全職,,"生產技術／製程工程師,電子產品系統工程師,品管／品保工程師",待遇面議（經常性薪資達 4 萬元或以上）
17,微星新星 實習生（大學生/碩士生）計劃,http://www.104.com.tw/job/82b8b?jobsource=cmw_redirect,China,廣東省深圳市,微星集團_恩斯邁電子(深圳)有限公司,大學,不拘,,日班,全職,英文,"生產技術／製程工程師,電子產品系統工程師,品管／品保工程師","月薪30,000元"
18,現場應用資深工程師,http://www.104.com.tw/job/84v78?jobsource=cmw_redirect,China,江蘇省南通市,弘凱光電(江蘇)有限公司,專科,不拘,,日班,全職,電子電路設計,"硬體研發工程師,電子工程師",待遇面議（經常性薪資達 4 萬元或以上）
19,LED驱动硬件资深工程师,http://www.104.com.tw/job/84v6z?jobsource=cmw_redirect,China,江蘇省南通市,弘凱光電(江蘇)有限公司,碩士,不拘,,日班,全職,"硬體工程技術開發,硬體系統研發設計,電子電路設計","光電工程師,電子工程師,硬體研發工程師",待遇面議（經常性薪資達 4 萬元或以上）
20,模塊硬件設計主管,http://www.104.com.tw/job/84v75?jobsource=cmw_redirect,China,江蘇省南通市,弘凱光電(江蘇)有限公司,專科,不拘,,日班,全職,,硬體工程研發主管,待遇面議（經常性薪資達 4 萬元或以上）
21,研發儲備幹部,http://www.104.com.tw/job/86i18?jobsource=cmw_redirect,China,江蘇省蘇州市,双凱食品配料(昆山)有限公司,大學,不拘,,日班,全職,"英文,Word,Excel,PowerPoint,實驗室設備操作,化學檢測儀器操作,化學實驗室管理,產品材料分析,食品研發技術,食品原料蒐集分析","食品研發人員,儲備幹部","月薪50,000~80,000元（固定或變動薪資因個人資歷或績效而異）"
22,開發中心-化工工程師(BR),http://www.104.com.tw/job/7ye33?jobsource=cmw_redirect,China,廣東省東莞市,東莞綠洲鞋業有限公司,大學,3年,,日班,全職,"化學分析能力,材料評估測試,產品材料分析,丙級化工技術士","化工化學工程師,材料研發人員,紡織化學工程師",待遇面議（經常性薪資達 4 萬元或以上）
23,Remanufacturing Supervisor (HV Battery) 電池維修主管 *Based in Hong Kong,http://www.104.com.tw/job/86h6n?jobsource=cmw_redirect,China,香港特別行政區,台灣特斯拉汽車有限公司,不拘,5年,,日班,全職,英文,"電源工程師,電子工程師,其他汽車／機車技術維修人員",待遇面議（經常性薪資達 4 萬元或以上）
24,駐外設備客服工程師,http://www.104.com.tw/job/7th8v?jobsource=cmw_redirect,China,香港特別行政區,騰齊科技有限公司,專科,不拘,,日班,全職,"英文,Outlook,PowerPoint,Word,中文打字20~50,英文打字20~50,電機設備保養修護,機械產品故障排除檢修,設備器材使用及維護","產品維修人員,產品售後技術服務,半導體工程師","月薪40,000~98,000元（固定或變動薪資因個人資歷或績效而異）"
25,冷冻面团研發工程師,http://www.104.com.tw/job/84tot?jobsource=cmw_redirect,China,上海市,南僑食品集團（上海）股份有限公司,大學,1年,,日班,全職,"食品衛生相關法令,食品研發技術,食品原料蒐集分析",食品研發人員,"月薪37,000~70,000元（固定或變動薪資因個人資歷或績效而異）"
